id,question,gt,isTrue,isTagged,dataset,unique_id,question_len
0,"Reformatted Question: <fact1>Rania saw a 210-foot whale</fact1> with <fact2>7 72-inch remoras attached to it</fact2>. What <fact3>percentage of the whale's body length</fact3> is the <fact4>combined length of the remoras</fact4>?
Answer: First, we need to find the total length of the remoras. There are <fact2>7</fact2> remoras, each <fact2>72</fact2> inches long. To find the total length, we multiply the number of remoras by the length of each remora: <fact2>7</fact2> * <fact2>72</fact2> = <fact2>504</fact2> inches. Since we want the percentage of the whale's body length, we need to convert the length of the remoras from inches to feet. There are 12 inches in a foot, so we divide the total length of the remoras by 12: <fact2>504</fact2> / <fact5>12</fact5> = <fact2>42</fact2> feet. Now, we can find the percentage of the whale's body length that the remoras make up by dividing the length of the remoras by the length of the whale and multiplying by 100: (<fact2>42</fact2> / <fact1>210</fact1>) * <fact6>100</fact6> = <fact2>20</fact2>%.",20,1,1,p2,0,1049
0,"Reformatted Question: <fact1>Olivia saw a 10-foot dolphin</fact1> with <fact2>8 3-inch remoras attached to it</fact2>. What <fact3>percentage of the dolphin's body length</fact3> is the <fact4>combined length of the remoras</fact4>?
Answer: The <fact2>8 3-inch remoras</fact2> have a combined length of <fact2>8</fact2> * <fact2>3</fact2> = 24 inches.
Since there are <fact1>12 inches in a foot</fact1>, the <fact2>8 3-inch remoras</fact2> have a combined length of 24 inches / <fact1>12</fact1> = 2 feet.
Therefore, the <fact4>combined length of the remoras</fact4> is <fact4>2 feet</fact4>.
The <fact1>dolphin's body length</fact1> is <fact1>10 feet</fact1>.
So, the <fact3>percentage of the dolphin's body length</fact3> that is the <fact4>combined length of the remoras</fact4> is (<fact4>2</fact4> / <fact1>10</fact1>) * <fact6>100%</fact6> = 20%.
The answer is {20}.",20,1,1,p2,1,872
0,"Reformatted Question: Jamal saw a <fact1>380-foot whale</fact1> with <fact2>8 57-inch remoras</fact2> attached to it. What percentage of the whale's body length is the combined length of the remoras?
Answer: First, we need to find the total length of the remoras. Since there are <fact2>8 remoras</fact2>, each of which is <fact2>57 inches</fact2> long, the total length of the remoras is <fact2>8</fact2> * <fact2>57</fact2> = 456 inches.
To convert this to feet, we divide by 12: 456/12 = 38 feet.
Now, we need to find the percentage of the whale's body length that the remoras make up. To do this, we divide the length of the remoras by the length of the whale and multiply by 100: (38 / <fact1>380</fact1>) * 100 = 10%.
The answer is {10}.",10,1,1,p2,2,743
0,"Reformatted Question: Mia saw a <fact1>240-foot shark</fact1> with <fact2>4</fact2> <fact3>36-inch remoras</fact3> attached to it. What <fact4>percentage of the shark's body length</fact4> is the <fact5>combined length of the remoras</fact5>?
Answer: The <fact1>combined length of the remoras</fact1> is <fact2>4</fact2> * <fact3>36</fact3> = 144 inches.
There are <fact1>12 inches</fact1> in a <fact2>foot</fact2>, so the <fact1>combined length of the remoras</fact1> is 144/<fact2>12</fact2> = 12 feet.
The <fact4>percentage of the shark's body length</fact4> that the <fact5>combined length of the remoras</fact5> is, is <fact6>(12/<fact1>240</fact1>)*100</fact6> = 5%.
The answer is {5}.",5,1,1,p2,3,691
0,"Reformatted Question: <fact1>Haruka saw a 450-foot shark</fact1> with <fact2>4 27-inch remoras attached to it</fact2>. What <fact3>percentage of the shark's body length</fact3> is the <fact4>combined length of the remoras</fact4>?
Answer: The <fact2>combined length of the remoras</fact2> is <fact2>4</fact2> * <fact2>27</fact2> = 108 inches. 
Since there are 12 inches in a foot, the <fact2>combined length of the remoras</fact2> is 108 / 12 = 9 feet.
The <fact1>percentage of the shark's body length</fact1> that the <fact4>combined length of the remoras</fact4> is can be calculated by dividing the <fact4>combined length of the remoras</fact4> by the <fact1>shark's body length</fact1> and then multiplying by 100.
So, the percentage is (9 / 450) * 100 = 2%.
The answer is {2}.",2,1,1,p2,4,781
0,"Reformatted Question: <fact1>Gabrielle saw a 70-foot dolphin</fact1> with <fact2>2 84-inch remoras</fact2> attached to it. What percentage of the dolphin's body length is the combined length of the remoras?
Answer: To find the combined length of the remoras, we need to multiply the length of one remora by the number of remoras. This is <fact2>2 remoras</fact2> * <fact2>84 inches</fact2> = 168 inches.
Since there are 12 inches in a foot, we can convert the combined length of the remoras from inches to feet by dividing by 12. This is <fact2>168 inches</fact2> / <fact1>12 inches per foot</fact1> = 14 feet.
Now, we can find the percentage of the dolphin's body length that the combined length of the remoras is by dividing the combined length of the remoras by the length of the dolphin and multiplying by 100. This is (<fact2>14 feet</fact2> / <fact1>70 feet</fact1>) * 100 = 20%.
The answer is {20}.",20,1,1,p2,5,905
0,"Reformatted Question: Mei saw a <fact1>90-foot dolphin</fact1> with <fact2>3 36-inch remoras</fact2> attached to it. What percentage of the dolphin's body length is the combined length of the remoras?

Answer: To find the combined length of the remoras, we need to multiply the number of remoras by their individual length. So, the combined length of the remoras is <fact2>3 remoras</fact2> * <fact2>36-inch remoras</fact2> = 108 inches.
We need to convert the combined length of the remoras from inches to feet. Since there are 12 inches in a foot, we can convert 108 inches to feet by dividing by 12. So, the combined length of the remoras is 108/12 = 9 feet.
Now, we need to find the percentage of the dolphin's body length that the combined length of the remoras represents. To do this, we can divide the combined length of the remoras by the dolphin's body length and multiply by 100. So, the percentage is (9/90) * 100 = 10%.
The answer is {10}.",10,1,1,p2,6,951
0,"Reformatted Question: <fact1>Noah saw a 220-foot whale</fact1> with <fact2>2 66-inch remoras attached to it</fact2>. What <fact3>percentage of the whale's body length</fact3> is the <fact4>combined length of the remoras</fact4>?
Answer: First, we need to convert the length of the remoras from inches to feet. There are <fact5>12 inches in a foot</fact5>, so <fact2>2 remoras</fact2> that are <fact2>66 inches</fact2> long each will be <fact6>2</fact6> * <fact2>66</fact2> / <fact5>12</fact5> = <fact7>11</fact7> feet long in total.
The <fact1>combined length of the remoras</fact1> is <fact7>11</fact7> feet.
The <fact3>percentage of the whale's body length</fact3> that the remoras make up is <fact7>11</fact7> / <fact1>220</fact1> * <fact8>100%</fact8> = <fact9>5%</fact9>.
The answer is {5}.",5,1,1,p2,7,795
0,"Reformatted Question: <fact1>Emma saw a 360-foot dolphin</fact1> with <fact2>6 72-inch remoras attached to it</fact2>. What <fact3>percentage of the dolphin's body length</fact3> is the <fact4>combined length of the remoras</fact4>?
Answer: The <fact2>combined length of the remoras</fact2> is <fact2>6</fact2> * <fact4>72</fact4> = 432 inches. To convert this to feet, we divide by 12, so the <fact2>combined length of the remoras</fact2> is 432/<fact5>12</fact5> = 36 feet.
The <fact1>dolphin's body length</fact1> is <fact1>360</fact1> feet. The <fact3>percentage of the dolphin's body length</fact3> that the <fact2>combined length of the remoras</fact2> is can be calculated by taking the <fact2>combined length of the remoras</fact2> (<fact6>36</fact6> feet) and dividing it by the <fact1>dolphin's body length</fact1> (<fact7>360</fact7> feet), and then multiplying by <fact8>100</fact8> to convert the result to a percentage.
This gives us ((<fact6>36</fact6>/<fact7>360</fact7>)*<fact8>100</fact8>) = 10.
The answer is {10}.",10,1,1,p2,8,1033
0,"Reformatted Question: <fact1>Bodhi saw a 400-foot shark</fact1> with <fact2>3 64-inch remoras</fact2> attached to it. What <fact3>percentage of the shark's body length</fact3> is the <fact4>combined length of the remoras</fact4>?
Answer: The <fact2>combined length of the remoras</fact2> is <fact2>3</fact2> * <fact2>64</fact2> = 192 inches. Since there are 12 inches in a foot, the <fact2>combined length of the remoras</fact2> is 192/12 = 16 feet. The <fact1>percentage of the shark's body length</fact1> that the <fact4>combined length of the remoras</fact4> is can be calculated by dividing the <fact4>combined length of the remoras</fact4> by the <fact1>shark's body length</fact1> and then multiplying by 100. This gives (16/400)*100 = 4%.
The answer is {4}.",4,1,1,p2,9,764
